Dataset,Model,Actual_Class,Count,Total_Samples,Correct_Predictions,Errors,Error_Rate_%,Accuracy_%
KDDTest+,RANDOMFOREST,DoS,7460,7460,5773,1687,22.61,77.39
KDDTest+,RANDOMFOREST,Normal,9711,9711,9451,260,2.68,97.32
KDDTest+,RANDOMFOREST,Probe,2421,2421,1585,836,34.53,65.47
KDDTest+,RANDOMFOREST,R2L,2885,2885,202,2683,93.0,7.0
KDDTest+,RANDOMFOREST,U2R,67,67,5,62,92.54,7.46
KDDTest-21,RANDOMFOREST,R2L,2885,2885,202,2683,93.0,7.0
KDDTest-21,RANDOMFOREST,DoS,4344,4344,2666,1678,38.63,61.37
KDDTest-21,RANDOMFOREST,Normal,2152,2152,1892,260,12.08,87.92
KDDTest-21,RANDOMFOREST,Probe,2402,2402,1566,836,34.8,65.2
KDDTest-21,RANDOMFOREST,U2R,67,67,5,62,92.54,7.46
KDDTest+,SVM,DoS,7460,7460,6024,1436,19.25,80.75
KDDTest+,SVM,Normal,9711,9711,9082,629,6.48,93.52
KDDTest+,SVM,Probe,2421,2421,1331,1090,45.02,54.98
KDDTest+,SVM,R2L,2885,2885,6,2879,99.79,0.21
KDDTest+,SVM,U2R,67,67,0,67,100.0,0.0
KDDTest-21,SVM,R2L,2885,2885,6,2879,99.79,0.21
KDDTest-21,SVM,DoS,4344,4344,2910,1434,33.01,66.99
KDDTest-21,SVM,Normal,2152,2152,1526,626,29.09,70.91
KDDTest-21,SVM,Probe,2402,2402,1315,1087,45.25,54.75
KDDTest-21,SVM,U2R,67,67,0,67,100.0,0.0
KDDTest+,XGBOOST,DoS,7460,7460,5945,1515,20.31,79.69
KDDTest+,XGBOOST,Normal,9711,9711,9441,270,2.78,97.22
KDDTest+,XGBOOST,Probe,2421,2421,1499,922,38.08,61.92
KDDTest+,XGBOOST,R2L,2885,2885,171,2714,94.07,5.93
KDDTest+,XGBOOST,U2R,67,67,10,57,85.07,14.93
KDDTest-21,XGBOOST,R2L,2885,2885,171,2714,94.07,5.93
KDDTest-21,XGBOOST,DoS,4344,4344,2829,1515,34.88,65.12
KDDTest-21,XGBOOST,Normal,2152,2152,1882,270,12.55,87.45
KDDTest-21,XGBOOST,Probe,2402,2402,1480,922,38.38,61.62
KDDTest-21,XGBOOST,U2R,67,67,10,57,85.07,14.93
