Dataset,Model,Class,Class_Type,Count,Precision_%,Recall_%,F1_Score_%
KDDTest+,RANDOMFOREST,apache2,Attack,737,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,back,Attack,359,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,buffer_overflow,Attack,20,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,ftp_write,Attack,3,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,guess_passwd,Attack,1231,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,httptunnel,Attack,133,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,imap,Attack,1,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,ipsweep,Attack,141,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,land,Attack,7,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,loadmodule,Attack,2,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,mailbomb,Attack,293,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,mscan,Attack,996,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,multihop,Attack,18,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,named,Attack,17,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,neptune,Attack,4657,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,nmap,Attack,73,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,normal,Normal,9711,65.33,97.25,78.16
KDDTest+,RANDOMFOREST,perl,Attack,2,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,phf,Attack,2,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,pod,Attack,41,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,portsweep,Attack,157,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,processtable,Attack,685,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,ps,Attack,15,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,rootkit,Attack,13,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,saint,Attack,319,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,satan,Attack,735,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,sendmail,Attack,14,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,smurf,Attack,665,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,snmpgetattack,Attack,178,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,snmpguess,Attack,331,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,sqlattack,Attack,2,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,teardrop,Attack,12,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,udpstorm,Attack,2,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,warezmaster,Attack,944,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,worm,Attack,2,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,xlock,Attack,9,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,xsnoop,Attack,4,0.0,0.0,0.0
KDDTest+,RANDOMFOREST,xterm,Attack,13,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,apache2,Attack,737,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,back,Attack,359,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,buffer_overflow,Attack,20,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,ftp_write,Attack,3,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,guess_passwd,Attack,1231,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,httptunnel,Attack,133,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,imap,Attack,1,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,ipsweep,Attack,141,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,land,Attack,7,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,loadmodule,Attack,2,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,mailbomb,Attack,293,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,mscan,Attack,996,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,multihop,Attack,18,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,named,Attack,17,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,neptune,Attack,1579,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,nmap,Attack,73,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,normal,Normal,2152,27.33,87.59,41.66
KDDTest-21,RANDOMFOREST,perl,Attack,2,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,phf,Attack,2,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,pod,Attack,41,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,portsweep,Attack,156,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,processtable,Attack,685,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,ps,Attack,15,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,rootkit,Attack,13,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,saint,Attack,309,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,satan,Attack,727,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,sendmail,Attack,14,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,smurf,Attack,627,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,snmpgetattack,Attack,178,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,snmpguess,Attack,331,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,sqlattack,Attack,2,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,teardrop,Attack,12,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,udpstorm,Attack,2,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,warezmaster,Attack,944,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,worm,Attack,2,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,xlock,Attack,9,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,xsnoop,Attack,4,0.0,0.0,0.0
KDDTest-21,RANDOMFOREST,xterm,Attack,13,0.0,0.0,0.0
KDDTest+,SVM,apache2,Attack,737,0.0,0.0,0.0
KDDTest+,SVM,back,Attack,359,0.0,0.0,0.0
KDDTest+,SVM,buffer_overflow,Attack,20,0.0,0.0,0.0
KDDTest+,SVM,ftp_write,Attack,3,0.0,0.0,0.0
KDDTest+,SVM,guess_passwd,Attack,1231,0.0,0.0,0.0
KDDTest+,SVM,httptunnel,Attack,133,0.0,0.0,0.0
KDDTest+,SVM,imap,Attack,1,0.0,0.0,0.0
KDDTest+,SVM,ipsweep,Attack,141,0.0,0.0,0.0
KDDTest+,SVM,land,Attack,7,0.0,0.0,0.0
KDDTest+,SVM,loadmodule,Attack,2,0.0,0.0,0.0
KDDTest+,SVM,mailbomb,Attack,293,0.0,0.0,0.0
KDDTest+,SVM,mscan,Attack,996,0.0,0.0,0.0
KDDTest+,SVM,multihop,Attack,18,0.0,0.0,0.0
KDDTest+,SVM,named,Attack,17,0.0,0.0,0.0
KDDTest+,SVM,neptune,Attack,4657,0.0,0.0,0.0
KDDTest+,SVM,nmap,Attack,73,0.0,0.0,0.0
KDDTest+,SVM,normal,Normal,9711,65.94,91.98,76.81
KDDTest+,SVM,perl,Attack,2,0.0,0.0,0.0
KDDTest+,SVM,phf,Attack,2,0.0,0.0,0.0
KDDTest+,SVM,pod,Attack,41,0.0,0.0,0.0
KDDTest+,SVM,portsweep,Attack,157,0.0,0.0,0.0
KDDTest+,SVM,processtable,Attack,685,0.0,0.0,0.0
KDDTest+,SVM,ps,Attack,15,0.0,0.0,0.0
KDDTest+,SVM,rootkit,Attack,13,0.0,0.0,0.0
KDDTest+,SVM,saint,Attack,319,0.0,0.0,0.0
KDDTest+,SVM,satan,Attack,735,0.0,0.0,0.0
KDDTest+,SVM,sendmail,Attack,14,0.0,0.0,0.0
KDDTest+,SVM,smurf,Attack,665,0.0,0.0,0.0
KDDTest+,SVM,snmpgetattack,Attack,178,0.0,0.0,0.0
KDDTest+,SVM,snmpguess,Attack,331,0.0,0.0,0.0
KDDTest+,SVM,sqlattack,Attack,2,0.0,0.0,0.0
KDDTest+,SVM,teardrop,Attack,12,0.0,0.0,0.0
KDDTest+,SVM,udpstorm,Attack,2,0.0,0.0,0.0
KDDTest+,SVM,warezmaster,Attack,944,0.0,0.0,0.0
KDDTest+,SVM,worm,Attack,2,0.0,0.0,0.0
KDDTest+,SVM,xlock,Attack,9,0.0,0.0,0.0
KDDTest+,SVM,xsnoop,Attack,4,0.0,0.0,0.0
KDDTest+,SVM,xterm,Attack,13,0.0,0.0,0.0
KDDTest-21,SVM,apache2,Attack,737,0.0,0.0,0.0
KDDTest-21,SVM,back,Attack,359,0.0,0.0,0.0
KDDTest-21,SVM,buffer_overflow,Attack,20,0.0,0.0,0.0
KDDTest-21,SVM,ftp_write,Attack,3,0.0,0.0,0.0
KDDTest-21,SVM,guess_passwd,Attack,1231,0.0,0.0,0.0
KDDTest-21,SVM,httptunnel,Attack,133,0.0,0.0,0.0
KDDTest-21,SVM,imap,Attack,1,0.0,0.0,0.0
KDDTest-21,SVM,ipsweep,Attack,141,0.0,0.0,0.0
KDDTest-21,SVM,land,Attack,7,0.0,0.0,0.0
KDDTest-21,SVM,loadmodule,Attack,2,0.0,0.0,0.0
KDDTest-21,SVM,mailbomb,Attack,293,0.0,0.0,0.0
KDDTest-21,SVM,mscan,Attack,996,0.0,0.0,0.0
KDDTest-21,SVM,multihop,Attack,18,0.0,0.0,0.0
KDDTest-21,SVM,named,Attack,17,0.0,0.0,0.0
KDDTest-21,SVM,neptune,Attack,1579,0.0,0.0,0.0
KDDTest-21,SVM,nmap,Attack,73,0.0,0.0,0.0
KDDTest-21,SVM,normal,Normal,2152,23.35,65.29,34.39
KDDTest-21,SVM,perl,Attack,2,0.0,0.0,0.0
KDDTest-21,SVM,phf,Attack,2,0.0,0.0,0.0
KDDTest-21,SVM,pod,Attack,41,0.0,0.0,0.0
KDDTest-21,SVM,portsweep,Attack,156,0.0,0.0,0.0
